"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-05","1996","05","12.3","","1.6","","7.0","","19.1","","-9.9","","26.0","E","12.0","E","38.0","E","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-06","1996","06","19.2","","7.3","E","13.3","E","26.7","","2.0","","64.8","","0.0","","64.8","","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-07","1996","07","22.9","E","9.6","E","16.2","E","29.7","","4.0","E","47.4","","0.0","","47.4","","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-08","1996","08","25.7","","8.6","","17.2","","33.9","","4.0","S","39.2","","0.0","","39.2","","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-09","1996","09","14.2","E","3.5","E","8.9","E","25.8","","-3.8","","73.2","","4.0","E","77.2","E","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-10","1996","10","","","","","","","","","","","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-11","1996","11","-8.7","E","-16.6","E","-12.6","E","7.2","","-33.3","","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1996-12","1996","12","-13.4","","-24.2","","-18.8","","1.0","","-39.5","","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-01","1997","01","-13.6","","-25.6","","-19.6","","4.5","","-40.9","","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-02","1997","02","-3.1","","-13.5","","-8.3","","5.8","","-19.2","","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-03","1997","03","-2.8","","-12.0","","-7.4","","11.5","","-30.7","","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-04","1997","04","8.0","E","-5.0","E","1.5","E","21.6","","-14.6","S","","","","","","","","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-05","1997","05","16.4","","2.6","E","9.5","E","27.3","","-2.2","","11.4","","5.8","E","17.2","E","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-06","1997","06","20.3","E","8.5","E","14.4","E","26.2","","1.5","","95.8","","0.0","","95.8","","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-07","1997","07","23.7","","9.0","","16.4","","30.6","","3.6","","40.6","","0.0","","40.6","","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-08","1997","08","24.4","","8.4","","16.4","","35.8","","1.9","","20.8","","0.0","","20.8","","0","","","","",""
"-111.45","52.07","CORONATION CLIMATE","3011887","1997-09","1997","09","20.8","E","4.2","E","12.5","E","29.8","","-3.0","","26.8","","5.2","E","32.0","E","0","","","","",""
