"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-01","2012","01","01","","-3.6","","-16.3","E","-10.0","E","28.0","E","0.0","E","","M","0.0","","0.0","","0","T","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-02","2012","01","02","","7.8","","-11.4","E","-1.8","E","19.8","E","0.0","E","","M","0.0","","0.0","","","","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-03","2012","01","03","","8.7","","-1.0","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-04","2012","01","04","","14.5","","-1.3","E","6.6","E","11.4","E","0.0","E","","M","0.0","","0.0","","","","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-05","2012","01","05","","6.0","","-0.4","E","2.8","E","15.2","E","0.0","E","","M","0.0","","0.0","","0","T","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-06","2012","01","06","","2.6","","-4.8","E","-1.1","E","19.1","E","0.0","E","","M","0.0","","0.0","","0","T","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-07","2012","01","07","","6.9","","-9.1","E","-1.1","E","19.1","E","0.0","E","","M","0.0","","0.0","","0","T","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-08","2012","01","08","","9.7","","-3.7","E","3.0","E","15.0","E","0.0","E","","M","0.0","","0.0","","0","T","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-09","2012","01","09","","11.6","","1.3","E","6.5","E","11.5","E","0.0","E","","M","0.0","T","0.0","T","0","T","","M","","M"
"-114.37","51.10","SPRINGBANK A","303F0PP","2012-01-10","2012","01","10","","0.0","","-6.3","E","-3.2","E","21.2","E","0.0","E","","M","3.8","","2.4","E","0","T","","M","","M"
