"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-01","2019","01","01","","5.4","","-9.5","","-2.1","","20.1","","0.0","","","","","","0.0","","","","26","","36",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-02","2019","01","02","","9.1","","4.5","","6.8","","11.2","","0.0","","","","","","0.0","","","","28","","60",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-03","2019","01","03","","10.3","","0.9","","5.6","","12.4","","0.0","","","","","","0.0","","","","25","","62",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-04","2019","01","04","","6.8","","0.5","","3.6","","14.4","","0.0","","","","","","0.0","","","","24","","89",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-05","2019","01","05","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-06","2019","01","06","","5.8","","-9.0","","-1.6","","19.6","","0.0","","","","","","0.0","","","","25","","54",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-07","2019","01","07","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","","","","","0.5","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-08","2019","01","08","","-7.9","","-15.0","","-11.4","","29.4","","0.0","","","","","","0.7","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-09","2019","01","09","","-2.1","","-12.8","","-7.5","","25.5","","0.0","","","","","","0.0","","","","27","","33",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-10","2019","01","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-11","2019","01","11","","7.6","","-2.3","","2.6","","15.4","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-12","2019","01","12","","8.2","","1.3","","4.7","","13.3","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-13","2019","01","13","","7.9","","-1.4","","3.2","","14.8","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-14","2019","01","14","","7.5","","-2.9","","2.3","","15.7","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-15","2019","01","15","","-0.2","","-7.1","","-3.6","","21.6","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-16","2019","01","16","","-7.0","","-9.0","","-8.0","","26.0","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-17","2019","01","17","","-8.2","","-17.1","","-12.7","","30.7","","0.0","","","","","","2.3","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-18","2019","01","18","","-12.8","","-18.2","","-15.5","","33.5","","0.0","","","","","","0.8","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-19","2019","01","19","","2.7","","-18.8","","-8.0","","26.0","","0.0","","","","","","0.0","","","","25","","47",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-20","2019","01","20","","2.1","","-5.5","","-1.7","","19.7","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-21","2019","01","21","","0.2","","-6.9","","-3.3","","21.3","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-22","2019","01","22","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-23","2019","01","23","","-0.5","","-18.2","","-9.3","","27.3","","0.0","","","","","","0.6","","","","3","","47",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-24","2019","01","24","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-25","2019","01","25","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-26","2019","01","26","","12.4","","-0.2","","6.1","","11.9","","0.0","","","","","","0.0","","","","28","","48",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-27","2019","01","27","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-28","2019","01","28","","-2.0","","-11.9","","-6.9","","24.9","","0.0","","","","","","0.0","","","","33","","32",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-29","2019","01","29","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2019-01-30","2019","01","30","","5.4","","-6.0","","-0.3","","18.3","","0.0","","","","","","0.0","","","","","","",""
