"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-01","2024","01","01","","4.2","","-4.2","","0.0","","18.0","","0.0","","2.0","","0.0","","2.0","","","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-02","2024","01","02","","3.1","","-7.3","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-03","2024","01","03","","-4.0","","-8.3","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-04","2024","01","04","","4.4","","-8.3","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","","","28","","35",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-05","2024","01","05","","3.9","","-3.7","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","0","T","34","","51",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-06","2024","01","06","","-0.4","","-9.6","","-5.0","","23.0","","0.0","","0.0","","1.0","","1.2","","0","T","1","","49",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-07","2024","01","07","","-9.6","","-17.4","","-13.5","","31.5","","0.0","","0.0","","3.2","","2.0","","3","","34","","48",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-08","2024","01","08","","-1.9","","-19.6","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","3","","28","","43",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-09","2024","01","09","","0.1","","-15.4","","-7.7","","25.7","","0.0","","0.0","","0.8","","0.8","","3","","36","","49",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-10","2024","01","10","","-15.3","","-24.4","","-19.9","","37.9","","0.0","","0.0","","10.0","","10.0","","5","","3","","43",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-11","2024","01","11","","-24.1","","-32.4","","-28.3","","46.3","","0.0","","0.0","","1.2","","1.2","","11","","1","","47",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-12","2024","01","12","","-30.4","","-35.6","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","T","11","","34","","31",""
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-13","2024","01","13","","-26.7","","-34.8","","-30.8","","48.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-14","2024","01","14","","-27.2","","-36.2","","-31.7","","49.7","","0.0","","0.0","","0.0","T","0.0","T","10","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2024-01-15","2024","01","15","","-7.6","","-31.4","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","10","","","M","","M"
