TYPE,NAME,ADDRESS,COMM_CODE,POINT
Community Centre,Rosemont Community Centre,2807 10 ST NW,CAP,POINT (-114.0860375 51.076753)
Attraction,WinSport's Canada Olympic Park,88 Canada Olympic RD SW,COP,POINT (-114.2154069 51.0823997)
Community Centre,Mid-Sun Community Centre,50 Midpark RI SE,MID,POINT (-114.0566252 50.9154377)
Attraction,Arts Commons,205 8 AV SE,DNC,POINT (-114.0600555 51.0453422)
Community Centre,Willow Park / Mapleridge Community Centre,680 Acadia DR SE,MPL,POINT (-114.0433391 50.9598927)
Attraction,Calgary Chinese Cultural Centre,197 1 ST SW,CHN,POINT (-114.0653037 51.0512847)
Community Centre,Glendale/Glendale Meadows Community Centre,2405 Glenmount DR SW,GDL,POINT (-114.1498178 51.0329981)
Library,Saddletowne Library,7556 FALCONRIDGE BV NE,MRT,POINT (-113.9478248 51.1202881)
Court,Alberta Provincial Court (Family),# 704-N 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Community Centre,Ranchlands Community Centre,7713 Ranchview DR NW,RAN,POINT (-114.1795107 51.1195951)
Court,Alberta Provincial Court (Rural),# 401-S 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Community Centre,Crescent Heights Community Centre,1101 2 ST NW,CRE,POINT (-114.0679851 51.0619441)
Visitor Info,Tourism Calgary Central Office,200 238 11 AV SW,BLN,POINT (-114.0675212 51.0427492)
Attraction,Olympic Plaza,228 8 AV SE,DNC,POINT (-114.0584187 51.0462451)
Attraction,Bow Habitat Station,1440 17A ST SE,ING,POINT (-114.0176584 51.0419867)
Library,Shawnessy Library,333 SHAWVILLE BV SE,SHN,POINT (-114.063957 50.898034)
Community Centre,Kingsland Community Centre,505 78 AV SW,KIN,POINT (-114.0740173 50.9829575)
Community Centre,South Calgary Community Centre,3130 16 ST SW,SOC,POINT (-114.0983094 51.0259947)
Community Centre,Woodcreek Community Centre,1991 Woodview DR SW,WOO,POINT (-114.1048706 50.9411119)
Community Centre,Strathcona/Christie Park Community Centre,277 Strathcona DR SW,STR,POINT (-114.1799694 51.0472701)
Community Centre,Parkdale Community Centre,3512 5 AV NW,PKD,POINT (-114.1368069 51.0605148)
Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC,POINT (-114.1479576 51.0745599)
Library,Forest Lawn Branch,4807 8 AV SE,FLN,POINT (-113.9652839 51.0448056)
Community Centre,Richmond/Knob Hill Community Centre,2433 26 AV SW,RIC,POINT (-114.1170348 51.0299208)
Community Centre,Killarney/Glengarry Community Centre,2828 28 ST SW,KIL,POINT (-114.1276829 51.0287192)
Library,Crowfoot Library,8665 NOSE HILL DR NW,ARB,POINT (-114.1925405 51.1308697)
Attraction,Calgary Stampede Park,1410 Olympic WY SE,BLN,POINT (-114.0536299 51.0391375)
Library,Southwood Library,924 SOUTHLAND DR SW,SOW,POINT (-114.08618 50.9635866)
Attraction,Studio Bell National Music Centre,850 4 ST SE,,POINT (-114.0527639 51.0445708)
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI,POINT (-114.05869 50.9825176)
Community Centre,Bowness / Greenwood / Greenbriar Community Centre,7904 43 AV NW,BOW,POINT (-114.2008558 51.0916625)
Attraction,Olympic Oval - University of Calgary,188 University CO NW,UOC,POINT (-114.1356884 51.0770333)
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA,POINT (-114.0983343 51.0441743)
Community Centre,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,1015 73 AV SW,KEL,POINT (-114.0849477 50.9875958)
Community Centre,Southwood Community Centre,11 Sackville DR SW,SOW,POINT (-114.0865931 50.9567837)
Attraction,The Military Museums,4520 Crowchild TR SW,ALT,POINT (-114.1145557 51.0135043)
Social Dev Ctr,Thornhill,6617 CENTRE ST NW,HUN,POINT (-114.0633325 51.1121013)
Community Centre,Thorncliffe/Greenview Community Centre,5600 Centre ST NE,THO,POINT (-114.0616125 51.1012063)
Community Centre,Acadia Community Centre,240 90 AV SE,ACA,POINT (-114.0651426 50.9731705)
Community Centre,Inglewood Community Centre,1740 24 AV SE,ING,POINT (-114.0195175 51.0325182)
Attraction,Fish Creek Provincial Park (Learning Centre),13931 Woodpath RD SW,FPK,POINT (-114.1320962 50.9276003)
Community Centre,Southview Community Centre,2020 33 ST SE,SOV,POINT (-113.9879885 51.0333215)
Social Dev Ctr,Bridgeland Place,736 MCDOUGALL CO NE,BRD,POINT (-114.0463219 51.0499507)
Community Centre,Winston Heights/Mountview Community Centre,520 27 AV NE,WIN,POINT (-114.0521206 51.0773605)
Social Dev Ctr,Forest Lawn,3810 17 AV SE,FLN,POINT (-113.9796488 51.0379404)
Community Centre,St. Andrews Heights Community Centre,2504 13 AV NW,STA,POINT (-114.121361 51.064041)
Court,Federal Court of Appeal,635 8 AV SW,DNC,POINT (-114.0758381 51.0456394)
Community Centre,Glenbrook Community Centre,3524 45 ST SW,GBK,POINT (-114.1520857 51.0229857)
Attraction,BMO Centre,,,POINT (-114.0559111 51.0380197)
Court,Alberta Provincial Court (Criminal),# 402-S 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Community Centre,Westgate Community Centre,4943 8 AV SW,WGT,POINT (-114.1578973 51.0446331)
Community Centre,Beddington Heights Community Centre,375 Bermuda DR NW,BED,POINT (-114.0851725 51.1316435)
Community Centre,West Hillhurst Community Centre,1940 6 AV NW,WHL,POINT (-114.10461 51.0581808)
Library,Fish Creek Library,11161 BONAVENTURE DR SE,WIL,POINT (-114.0609114 50.9517181)
Community Centre,Triwood Community Centre,2244 Chicoutimi DR NW,CHW,POINT (-114.1117154 51.0863175)
Community Centre,Scarboro Community Centre,1727 14 AV SW,SNA,POINT (-114.101184 51.0404034)
Community Centre,Copperfield & Mahogany Community Center,6 Copperstone Way SE,CPF,POINT (-113.9324483 50.9148598)
Attraction,Calgary Tower,101 9 AV SW,DNC,POINT (-114.0631126 51.0444802)
