COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
RESIDENTIAL,4819 4 ST NW,4819 4 ST NW,LEASED SPACE,WARD 4,HIGHWOOD,{4AB119D8-14A8-4D11-983D-69AF1B5EE397},"MULTIPOLYGON (((-114.0718696 51.0950065, -114.0718683 51.0951232, -114.0719929 51.0951238, -114.0719942 51.0950071, -114.0718696 51.0950065)))"
WEST CONFEDERATION DEPOT,2020 CHICOUTIMI DR NW,2836 CANMORE RD NW,DEPOT,WARD 4,CHARLESWOOD,{DFE86440-6348-4653-8A87-E202A8457447},"MULTIPOLYGON (((-114.1095304 51.0811165, -114.1095219 51.081189, -114.1096174 51.0811934, -114.1096148 51.0812151, -114.1096347 51.081216, -114.1096777 51.081218, -114.1096962 51.0812189, -114.1097073 51.0811248, -114.1095304 51.0811165)))"
RESIDENTIAL,4803 EDMONTON TR NE,4803 EDMONTON TR NE,SINGLE FAMILY,WARD 4,GREENVIEW,{41B8020B-6F8C-4727-B301-C2C64A272014},"MULTIPOLYGON (((-114.0544271 51.0949048, -114.0542907 51.0949073, -114.054294 51.0949796, -114.0543157 51.0949792, -114.0543178 51.0950253, -114.0544324 51.0950232, -114.0544271 51.0949048)))"
BRISBOIS EAST STORM LIFT STATION,4136 BRENTWOOD RD NW,,LIFT STATION,WARD 4,BRENTWOOD,{273BCB4C-C503-4F2A-A822-16899CE2E128},"MULTIPOLYGON (((-114.1347314 51.0891424, -114.1347685 51.089121, -114.1347359 51.0890985, -114.1346987 51.0891198, -114.1347314 51.0891424)))"
SPRING GARDENS BUILDING D,840D 32 AV NE,840 32 AV NE,ADMINISTRATION,WARD 4,GREENVIEW INDUSTRIAL PARK,{F93BC17B-8354-4CE9-B993-54B9635A7265},"MULTIPOLYGON (((-114.0430083 51.0883669, -114.0430087 51.0883374, -114.0430213 51.0883372, -114.0430233 51.0882418, -114.0430009 51.0882411, -114.0430014 51.0882075, -114.0430012 51.088202, -114.0430005 51.0881988, -114.0429996 51.0881955, -114.0429967 51.0881933, -114.0429922 51.0881923, -114.0429871 51.0881919, -114.042984 51.0881919, -114.0428253 51.0881919, -114.0428167 51.0881919, -114.0428102 51.0881926, -114.0428063 51.088194, -114.0428025 51.088196, -114.0427993 51.0881987, -114.0427612 51.088199, -114.0427613 51.0881918, -114.0426366 51.0881914, -114.042635 51.0882059, -114.0425741 51.0882054, -114.0425658 51.0882054, -114.0425611 51.088206, -114.0425579 51.0882074, -114.042555 51.0882101, -114.0425544 51.0882131, -114.0425543 51.0882157, -114.042553 51.0883212, -114.0425532 51.0883268, -114.0425544 51.0883305, -114.0425575 51.0883334, -114.0425619 51.0883351, -114.0425638 51.0883351, -114.0425718 51.0883352, -114.0425709 51.0883497, -114.0425325 51.0883495, -114.0425314 51.0884435, -114.0425535 51.0884451, -114.0425535 51.0885027, -114.0425546 51.0885081, -114.0425549 51.0885112, -114.0425573 51.0885133, -114.0425616 51.0885149, -114.0425677 51.0885156, -114.0425794 51.0885158, -114.042624 51.088516, -114.0426469 51.0885157, -114.0426467 51.0885292, -114.0427937 51.0885302, -114.0427933 51.0885165, -114.0429972 51.0885157, -114.0430086 51.088516, -114.0430133 51.0885159, -114.0430171 51.0885149, -114.0430207 51.0885129, -114.0430221 51.0885105, -114.0430227 51.0885076, -114.0430225 51.088505, -114.0430226 51.0885006, -114.0430231 51.088389, -114.0430224 51.0883826, -114.0430197 51.0883758, -114.0430144 51.0883722, -114.0430116 51.0883694, -114.04301 51.0883682, -114.0430083 51.0883669)))"
19 ST DEPOT,4375 19 ST NW,,ATCO TRAILER,WARD 4,CHARLESWOOD,{CCBB8736-5F33-4989-8113-26F53F2D5953},"MULTIPOLYGON (((-114.1069529 51.0919721, -114.1069674 51.091976, -114.1071817 51.0920339, -114.1071954 51.0920376, -114.1072323 51.0919834, -114.1069899 51.0919179, -114.1069529 51.0919721)))"
SPRING GARDENS PARK GARAGE,840 32 AV NE,840 32 AV NE,GARAGE,WARD 4,GREENVIEW INDUSTRIAL PARK,{1EF931DB-39A3-4B7E-B6BA-6B2965F29B26},"MULTIPOLYGON (((-114.0463052 51.0881278, -114.0463825 51.0881278, -114.0464562 51.0881278, -114.0464562 51.0880222, -114.0463808 51.0880222, -114.0463052 51.0880222, -114.0463052 51.0881278)))"
CPS DISTRICT 3 - GARAGE,4303 14 ST NW,4303 14 ST NW,POLICE STATION,WARD 4,NOSE HILL PARK,{0B4AE8A4-AEF2-4EF2-A829-474D01E75662},"MULTIPOLYGON (((-114.0957015 51.0921934, -114.0956115 51.0922893, -114.095736 51.0923356, -114.095823 51.092243, -114.095826 51.0922398, -114.0957151 51.0921985, -114.0957015 51.0921934)))"
5912 CENTRE ST NE RESIDENTIAL,5912 CENTRE ST NE,5912 CENTRE ST NE,RESIDENTIAL,WARD 4,THORNCLIFFE,{4BE8C47A-0938-4D1B-B0FF-FF9F11B4759C},"MULTIPOLYGON (((-114.0621183 51.103181, -114.062136 51.103181, -114.0621363 51.1031193, -114.0619947 51.1031191, -114.0619943 51.1032408, -114.062118 51.103241, -114.0621183 51.103181)))"
RESIDENTIAL,507 THORNHILL DR NW,507 THORNHILL DR NW,SINGLE FAMILY,WARD 4,THORNCLIFFE,{16C63FA0-1FE1-4009-90B6-0C6288BFA09E},"MULTIPOLYGON (((-114.0720047 51.0967206, -114.071962 51.0968005, -114.0721451 51.0968393, -114.0721878 51.0967594, -114.0720047 51.0967206)))"
