lud_code,lud_description,lud_district,lud_modified_name,lud_name,lud_url
C-C1,C-C1 is a community commercial designation that is typically for 1 to 2 storey commercial strip malls that primarily serve the immediate surrounding area.,COMMERCIAL,,Commercial - Community 1 District (C-C1),http://lub.calgary.ca/Part7/Division4_Commercial_Community_1_(C-C1)_District.htm
C-C2,C-C2 is a community commercial designation that is primarily for commercial developments such as strip malls and shopping centres that may serve several surrounding communities.,COMMERCIAL,,"Commercial - Community 2 District, (C-C2)",http://lub.calgary.ca/Part7/Division5_Commercial_Community_2_f_h_(C-C2f_h_)_District.htm
C-COR1,C-COR1 is a commercial corridor  designation that is primarily for commercial or mixed use development that must include commercial storefronts. Buildings may vary in height.  Residential units are allowed on upper floors.,COMMERCIAL,,"Commercial - Corridor 1 District, (C-COR1)",http://lub.calgary.ca/Part7/Division6_Commercial_Corridor_1_f_h__(C-COR1f_h_)_District.htm
C-COR2,C-COR2 is a commercial corridor designation that is primarily for commercial or mixed use development of varied height.  Residential units are allowed on upper floors of buildings.,COMMERCIAL,,Commercial - Corridor 2 District (C-COR2),http://lub.calgary.ca/Part7/Division7_Commercial_Corridor_2_f_h__(C-COR2_f_h_)_District.htm
C-COR3,C-COR3 is a commercial corridor designation that is primarily for commercial uses along major roadways.  Residential uses are not allowed.,COMMERCIAL,,Commercial - Corridor 3 District (C-COR3),http://lub.calgary.ca/Part7/Division8_Commercial_Corridor_3_f_h__(C-COR3_f_h_)_District.htm
C-N1,C-N1 is a neighbourhood commercial designation that is primarily for small commercial uses in 1 to 2 storey buildings.,COMMERCIAL,,Commercial - Neighbourhood 1 District (C-N1),http://lub.calgary.ca/Part7/Division2_Commercial_Neighbourhood_1_(C-N1)_District.htm
C-N2,C-N2 is a neighbourhood commercial designation that is primarily for small commercial uses in 1 to 2 storey buildings; accessible by motor vehicle .,COMMERCIAL,,Commercial -  Neighbourhood 2 District (C-N2),http://lub.calgary.ca/Part7/Division3_Commercial_Neighbourhood_2_(C-N2)_District.htm
C-O,C-O is a commercial designation that is primarily for office buildings near major roadways and public transit facilities.,COMMERCIAL,,Commercial - Office District (C-O),http://lub.calgary.ca/Part7/Division9_Commercial_Office_f_h__(C-O_f_h_)_District_Purpose.htm
C-R1,C-R1 is a regional commercial designation that is primarily for large-format ¿big box¿ stores.,COMMERCIAL,,Commercial - Regional 1 District (C-R1),http://lub.calgary.ca/Part7/Division10_Commercial_Regional_1_f__(C-R1_f_)_District.htm
C-R2,C-R2 is a regional commercial designation that is primarily for large enclosed shopping malls and shopping centres.,COMMERCIAL,,Commercial - Regional 2 District (C-R2),http://lub.calgary.ca/Part7/Division11_Commercial_Regional_2_f(C-R2_f)District.htm
C-R3,"C-R3 is a regional commercial designation that is primarily for large, mostly retail commercial developments where uses are typically in multiple buildings distributed over multiple sites.",COMMERCIAL,,Commercial - Regional 3 District (C-R3),http://lub.calgary.ca/Part7/Division12_Commercial_Regional_3_f_h(C-R3_f_h)District.htm
CC-COR,CC-COR is a Centre City designation  primarily for commercial corridor development.,COMMERCIAL,,Centre City Commercial Corridor District (CC-COR),http://lub.calgary.ca/Part11/Division_6_Centre_City_Commercial_Corridor_District_(CC_COR).htm
CC-EIR,The CC-EIR designation is for intensive residential development integrated with a broad range of support commercial uses in the East Village area.,COMMERCIAL,,Centre City East Village Integrated Residential District (CC-EIR),http://lub.calgary.ca/Part12/Division_6_Centre_City_East_Village_Integrated_Residential_District_(CC_EIR).htm
CC-EMU,The CC-EMU designation is for a mix of commercial and residential uses in mid and high rise buildings in the East Village area.,COMMERCIAL,,Centre City East Village Mixed Use District (CC-EMU),http://lub.calgary.ca/Part12/Division_3_Centre_City_East_Village_Mixed_Use_District_(CC_EMU).htm
CC-EPR,The CC-EPR designation is for intensive residential development with some support commercial uses in the East Village area.,COMMERCIAL,,Centre City East Village Primarily Residential District (CC-EPR),http://lub.calgary.ca/Part12/Division_5_Centre_City_East_Village_Primarily_Residential_District_(CC_EPR).htm
