BOARD,NAME,ADDRESS_AB,POSTAL_COD,CITY,PROVINCE,PHONE_NO,FAX_NO,EMAIL,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,GLOBAL_ID,POINT,Ward Boundaries 2 2,City Quadrants 2 2,Calgary Communities 2 2,Ward Boundaries 2013-2017 2 2,CALGIS CENSUS COMMUNITY DIST 2015 Shape File 2 2
Gobind Marg Charitable Trust Foundation,Gobind Sarvar School Guru Nanak Gate Campus,8730 - 45 Street NE,T3J2J1,Calgary,AB,(403) 805-1822,,gss@gscalgary.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{B1CB5824-BFC4-4DBA-9BED-1D0E7BB9F411},POINT (-113.9663021 51.1295367),11,4,2,1,143
The Calgary Roman Catholic Separate School Division,St. Martha School,6020 - 4 Avenue N.E.,T2A4B1,Calgary,AB,(403) 500-2074,,stmartha@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{FE3F05A2-EC54-4722-955C-EC69EE801BB8},POINT (-113.9456359 51.0565433),12,4,33,3,246
The Calgary School Division,A. E. Cross School,3445  37 St SW,T3E3C2,Calgary,AB,(403) 777-7410,,aecross@cbe.ab.ca,Junior High,N,N,N,Y,N,{F2CDED10-EAB5-4FFE-9862-7812C49BEA3E},POINT (-114.1420958 51.0232443),1,1,298,14,33
The Calgary School Division,Cedarbrae School,10631 Oakfield Dr SW,T2W2T3,Calgary,AB,(403) 777-8610,,cedarbrae@cbe.ab.ca,Elementary,N,N,Y,N,N,{9038D653-33A3-4C86-8E93-9F1D9470878E},POINT (-114.1331845 50.9583988),8,1,126,5,270
The Calgary School Division,Nelson Mandela High School,45 Saddletowne Cir NE,T3J4W3,Calgary,AB,(403) 817-3500,,nelsonmandelahigh@cbe.ab.ca,Senior High,N,N,N,N,Y,{003A205C-A14B-4850-8609-E72650EF9DA2},POINT (-113.9488457 51.1219806),9,4,180,1,184
The Calgary Roman Catholic Separate School Division,Christ the King Catholic School,333 Cranston Way SE,T3M1K6,Calgary,AB,(403) 500-2119,,christtheking@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{4D1A7132-FF20-47E6-8F19-4A9389192B76},POINT (-113.9759703 50.8878369),4,3,294,8,82
The Calgary School Division,Dalhousie School,4440 Dallyn St NW,T3A1K3,Calgary,AB,(403) 777-6030,,dalhousie@cbe.ab.ca,Elementary,N,N,Y,N,N,{84EB1ACD-456C-4F7F-B916-AF4555E2A8E1},POINT (-114.1513785 51.1065269),7,2,38,4,260
The Calgary School Division,Balmoral School,220 16 Ave NW,T2M0H4,Calgary,AB,(403) 777-7330,,balmoral@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{2DC4C7C5-A231-4A7D-A1B2-34B6F7E48EB3},POINT (-114.0664802 51.0678818),10,2,69,7,70
The Calgary School Division,Juno Beach Academy of Canadian Studies,315 - 86 Avenue SE,T2H1Z2,Calgary,AB,(403) 777-7210,,junobeachacademy@cbe.ab.ca,Unknown,N,N,N,N,N,{847409DF-A1BA-4120-A7BD-B8F67DEC3FF5},POINT (-114.0650625 50.9753211),10,3,174,5,81
The Calgary School Division,Saddle Ridge School,368 Saddlecrest Blvd NE,T3J5L6,Calgary,AB,(403) 777-6249,,SaddleRidge@cbe.ab.ca,Elementary,N,N,Y,N,N,{6849B451-00E4-4965-8550-14C7ADBCF337},POINT (-113.9368796 51.1368826),11,4,2,1,143
,MOUNT ROYAL UNIVERSITY - LINCOLN PARK CAMPUS,,T3E6K6,Calgary,AB,(403) 440-5000,,aro@mtroyal.ca,,Y,Y,,,,{6B4BA3CC-39A8-4620-891E-3EB721E83E95},POINT (-114.1327203 51.012805),8,1,42,2,11
The Renert School Foundation,Renert School,14 Royal Vista Link NW,T3R0K4,Calgary,AB,(587) 353-1053,,info@renertschool.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{F879CDB1-0553-4FF1-B8A9-714319C039E5},POINT (-114.2028365 51.151837),3,2,157,9,105
The Calgary School Division,Forest Lawn High School,1304  44 St SE,T2A1M8,Calgary,AB,(403) 272-6665,,forestlawn@cbe.ab.ca,Senior High,N,N,N,N,Y,{51B491E0-DCF9-42EF-A481-242D173FD4A2},POINT (-113.9689496 51.0424031),12,3,85,11,211
The Calgary Roman Catholic Separate School Division,St. Andrew School,4331 - 41 Avenue S.W.,T3E1G2,Calgary,AB,(403) 500-2031,,standrew@cssd.ab.ca,Elementary,N,N,Y,N,N,{67F74556-B987-4F91-8B90-47F8068978D9},POINT (-114.1477242 51.0163628),1,1,142,14,274
The Calgary Roman Catholic Separate School Division,St. Peter Elementary School,720 - 58 Street S.E.,T2A5L9,Calgary,AB,(403) 500-2079,,stpeter@cssd.ab.ca,Elementary,N,N,Y,N,N,{ECA411B1-26AF-4DD6-A738-AB3723031897},POINT (-113.949107 51.046185),12,3,30,11,244
The Calgary School Division,William Roper Hull School,2266 Woodpark Ave SW,T2W2Z8,Calgary,AB,(403) 251-8022,,williamroperhull@cbe.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{63FD9957-38FD-496E-BA9D-0CCBA8818B60},POINT (-114.1138325 50.9483626),5,1,216,6,142
The Calgary School Division,Lester B. Pearson High School,3020  52 St NE,T1Y5P4,Calgary,AB,(403) 280-6565,,lesterbpearson@cbe.ab.ca,Senior High,N,N,N,N,Y,{71B74CFF-518B-45AD-9771-724B6E039C4F},POINT (-113.9563976 51.0769499),9,4,36,3,294
The Calgary School Division,Citadel Park School,808 Citadel Dr NW,T3G4B8,Calgary,AB,(403) 777-8063,,citadel@cbe.ab.ca,Elementary,N,N,Y,N,N,{7A214B17-DFCE-45F3-A0D1-CAF4817A876E},POINT (-114.1742345 51.1454511),3,2,247,10,177
The Calgary School Division,Dr. E. P. Scarlett High School,220 Canterbury Dr SW,T2W1H4,Calgary,AB,(403) 281-3366,,drepscarlett@cbe.ab.ca,Senior High,N,N,N,N,Y,{B526BA4D-46DB-4B39-B8EF-DE6C478396B3},POINT (-114.0879719 50.9487874),5,1,283,6,24
The Calgary School Division,Central Memorial High School,5111  21 St SW,T3E1R9,Calgary,AB,(403) 243-8880,,centralmemorial@cbe.ab.ca,Senior High,N,N,N,N,Y,{E90AC4E6-9C52-4B08-9D71-8D640A2639D3},POINT (-114.1135205 51.0079279),8,1,122,5,265
,ST. MARY'S UNIVERSITY - STUDENTS' ASSOCIATION,,T2X1Z4,Calgary,AB,(403) 531-9130,,,,Y,Y,,,,{FAEC4438-84E5-459E-B7B2-5A1FA91AA00D},POINT (-114.0663391 50.9224374),6,3,263,13,161
Rundle College Society,Rundle College Junior Senior High,7375 - 17 Avenue SW,T3H3W5,Calgary,AB,(403) 250-7180,,contactus@rundle.ab.ca,Junior High/Senior High,N,N,N,Y,Y,{2A1AD1AB-D514-4D77-9771-A18D1404B1FF},POINT (-114.1939221 51.0368941),1,1,289,14,22
The Calgary School Division,Emily Follensbee School,5139 14 ST SW,T2T3W5,Calgary,AB,(403) 777-6980,,emilyfollensbee@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{F4A60FDB-50C0-4504-960B-6CEC6C6256A3},POINT (-114.0955749 51.0076359),8,1,238,5,97
The Calgary School Division,Mount Royal School,2234  14 St SW,T2T3T3,Calgary,AB,(403) 777-7980,,mountroyal@cbe.ab.ca,Junior High,N,N,N,Y,N,{CC79E656-8ECA-460B-95F4-B40B884F012F},POINT (-114.0939102 51.0347223),14,1,271,2,185
The Calgary Roman Catholic Separate School Division,St. Bernadette School,55 Lynndale Crescent S.E.,T2C0T8,Calgary,AB,(403) 500-2020,,stbernadette@cssd.ab.ca,Elementary,N,N,Y,N,N,{F1810E90-9FE2-470B-B7F0-AC562BB45EA0},POINT (-114.0091978 50.9903909),10,3,28,11,242
The Calgary Roman Catholic Separate School Division,Holy Child School,31 Silverado Terrace SW,T2X0K4,Calgary,AB,(403) 500-2130,,holychild@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{75B71788-D7AB-4821-B197-B514EA3BDAED},POINT (-114.0831381 50.886183),6,1,134,6,252
The Calgary School Division,Evergreen School,367 Everstone Dr SW,T2Y0L3,Calgary,AB,,,,Elementary,N,N,Y,N,N,{7A0F9DD0-940C-4AE2-8A34-1ECBD9803098},POINT (-114.1065198 50.9169239),5,1,39,6,257
The Calgary School Division,Buchanan School,3717 Centre St NW,T2E2Y2,Calgary,AB,(403) 777-6260,,buchanan@cbe.ab.ca,Elementary,N,N,Y,N,N,{29F34BFF-C860-4454-B607-5E4D96594A75},POINT (-114.0631478 51.0856297),2,2,259,4,129
Montessori School of Calgary,Montessori School of Calgary,2201 Cliff Street S.W.,T2S2G4,Calgary,AB,(403) 229-1011,,info@msofc.ca,Elementary,N,N,Y,N,N,{EEF9BB82-E7EE-4509-9EC8-DA473346CE81},POINT (-114.0760776 51.033361),14,1,18,2,231
The Calgary Roman Catholic Separate School Division,St. Marguerite School,1100 New Brighton Drive SE,T2Z0W1,Calgary,AB,(403) 500-2127,,stmarguerite@cssd.ab.ca,Elementary,N,N,Y,N,N,{C95009A8-077D-4CD7-8173-A85E3628314C},POINT (-113.9372308 50.9211549),4,3,139,8,247
The Calgary Roman Catholic Separate School Division,St. Cyril School,2990 Cedarbrae Drive S.W.,T2W2N9,Calgary,AB,(403) 500-2070,,stcyril@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{D276D4B4-4D1E-431E-9E4F-B91524FF4008},POINT (-114.1285219 50.9554935),8,1,126,5,270
The Palliser School Division,"Calgary Islamic School, Akram Jomaa Campus",2612 - 37 Avenue N.E.,T1Y5L2,Calgary,AB,(403) 248-2773,,,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{996049E9-795C-4992-BE37-69AEF733A1B8},POINT (-114.0004774 51.0875899),9,4,71,3,76
The Calgary School Division,Deer Run School,2127  146 Ave SE,T2J6P8,Calgary,AB,(403) 777-6840,,deerrun@cbe.ab.ca,Elementary,N,N,Y,N,N,{325013F4-CFAB-4552-B3AF-29EB148B13AC},POINT (-114.0094545 50.9215554),6,3,168,13,71
GCA Educational Society,Glenmore Christian Academy Elementary,16520 - 24 Street S.W.,T2Y4W2,Calgary,AB,(403) 254-9050,,admin@gcaschool.com,Elementary,N,N,Y,N,N,{0A4A0387-3D5C-4EBA-AB12-81B0A85B5508},POINT (-114.115239 50.9039788),5,1,138,6,283
The Calgary Roman Catholic Separate School Division,St. Rose of Lima Junior High School,2419 50 Street NE,T1Y1Z5,Calgary,AB,(403) 500-2071,,strose@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{2E82F855-EA98-4788-A9D1-A46D3C883D2C},POINT (-113.9622789 51.0758006),9,4,34,3,291
The Calgary School Division,Haysboro School,1123  87 Avenue SW,T2V0W2,Calgary,AB,(403) 777-8530,,haysboro@cbe.ab.ca,Elementary,N,N,Y,N,N,{2D120B08-FE6B-436F-87BB-27DCCBF747C5},POINT (-114.0891358 50.9754952),8,1,195,5,167
The Calgary School Division,Monterey Park School,7400 California Blvd NE,T1Y6R2,Calgary,AB,(403) 777-7233,,montereypark@cbe.ab.ca,Elementary,N,N,Y,N,N,{ED6D9BF9-BD0D-4EED-A31B-24A4B6E8FB58},POINT (-113.9304829 51.0774247),9,4,161,3,116
The Calgary Roman Catholic Separate School Division,St. Alphonsus Elementary Junior High School,928 Radnor Avenue N.E.,T2E5H5,Calgary,AB,(403) 500-2016,,stalphonsus@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{1FDAFBBA-299A-4F9C-A2CE-02E955C48982},POINT (-114.0414183 51.0645497),10,4,171,11,78
The Calgary School Division,William Aberhart High School,3009 Morley Trail NW,T2M4G9,Calgary,AB,(403) 289-2551,,williamaberhart@cbe.ab.ca,Senior High,N,N,N,N,Y,{3B6A8BBB-0635-4214-93D6-0E1B96CFE612},POINT (-114.1153375 51.0786695),7,2,153,7,183
The Calgary Roman Catholic Separate School Division,St. Isidore Online School,124 24 Ave NE,T2E1W6,Calgary,AB,(403) 500-2138,,stisidore@cssd.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{565D50F9-AD56-4A3F-B98A-13823DC980A9},POINT (-114.0611329 51.0744911),10,4,69,7,70
The Calgary Roman Catholic Separate School Division,St. Stephen School,10910 Elbow Drive S.W.,T2W1G6,Calgary,AB,(403) 500-2043,,ststephen2@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{67063C9B-3B6D-4E4A-A375-8CC51B5B0269},POINT (-114.0838525 50.9556954),8,1,7,5,91
Calgary Chinese Alliance School Society,Calgary Chinese Alliance School,150 Beddington Blvd. NE,T3K2E2,Calgary,AB,(403) 274-7046,,info@ccas.school,Senior High,N,N,N,N,Y,{0416F06D-0E50-4BD2-AAB1-2CFD181BAD4D},POINT (-114.0676255 51.1257326),2,4,273,4,60
The Calgary School Division,Sam Livingston School,12011 Bonaventure Dr SE,T2J3G7,Calgary,AB,(403) 777-6890,,samlivingston@cbe.ab.ca,Elementary,N,N,Y,N,N,{7F8A9E5B-E6D0-478E-8A7B-68834DA97B08},POINT (-114.0612703 50.9454482),6,3,267,13,123
The Calgary School Division,Glendale School,2415 Kelwood Dr SW,T3E3Z8,Calgary,AB,(403) 777-8330,,glendale@cbe.ab.ca,Elementary,N,N,Y,N,N,{CFFA33E2-2BFE-4CDE-8986-AFD2201CF2B4},POINT (-114.14558 51.0324672),1,1,41,14,286
The Calgary School Division,Hidden Valley School,10959 Hidden Valley Dr  NW,T3A6J2,Calgary,AB,(403) 777-7236,,,Elementary,N,N,Y,N,N,{C0EBE635-BA51-4E1B-8F86-7FA68CBEBB8C},POINT (-114.11959 51.1502538),2,2,25,12,289
The Calgary Roman Catholic Separate School Division,St. William School,11020 Fairmount Drive S.E.,T2J0T1,Calgary,AB,(403) 500-2055,,stwilliam@cssd.ab.ca,Elementary,N,N,Y,N,N,{104F2DF0-D0A7-4802-B4D0-D44DFB371DCF},POINT (-114.0592582 50.9536216),6,3,89,5,212
Janus Academy Society,Janus Academy Junior/Senior High School,200 - 403 33 Street NE,T2H1S1,Calgary,AB,(403) 262-3333,,janus.contact@janusacademy.org,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{B78A7A02-9D87-4865-AD1D-8F814B2A345F},POINT (-114.0562929 50.9774377),10,3,174,5,81
Calgary International Academy Ltd,Calgary International Academy ECS,110-1248 Livingston Way NE,T3J4A3,Calgary,AB,(403) 991-7534,,info@ciacademy.ca,Unknown,N,N,N,N,N,{EDA527B5-45BF-4102-81DF-AAA3EEDEA7F6},POINT (-113.9527894 51.1258883),11,4,2,1,143
The Calgary School Division,Project Trust,3610 - 9th Street SE,T2M4P6,Calgary,AB,(403) 777-6107,,discoveringchoices@cbe.ab.ca,Unknown,N,N,N,N,N,{B1F8CAA7-DC99-4BC4-A4AF-B36EEC729829},POINT (-114.0828403 51.0720702),7,2,17,7,256
The Calgary Roman Catholic Separate School Division,John Costello Catholic School,300 Strathcona Drive S.W.,T3H1N9,Calgary,AB,(403) 500-2003,,Johncostello@cssd.ab.ca,Elementary,N,N,Y,N,N,{354A33DD-37E7-4A5A-A312-91DD5D2778E9},POINT (-114.1807075 51.0488326),1,1,67,14,20
The Calgary Jewish Academy,Calgary Jewish Academy,6700 Kootenay Street S.W.,T2V1P7,Calgary,AB,(403) 253-3992,,officeadmin@cja.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{05DB1CCF-0108-4088-A6D3-A671DE13DCAF},POINT (-114.0926065 50.9934947),8,1,29,5,243
Phoenix Education Foundation,Phoenix Education Foundation,320 19 Street S.E.,T2E6J6,Calgary,AB,(403) 265-7701,,info@phoenixfoundation.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{2033B175-A107-401B-A001-C6D1EACC0E15},POINT (-114.0078257 51.0502642),12,3,167,3,119
The Calgary School Division,Lake Bonavista School,1015  120 Ave SE,T2J2L1,Calgary,AB,(403) 777-6871,,lakebonavista@cbe.ab.ca,Elementary,N,N,Y,N,N,{B3ABAA4E-39B5-44F9-8012-EE068735B1E0},POINT (-114.0409238 50.944541),6,3,267,13,123
The Calgary Roman Catholic Separate School Division,St. Mary's High School,111 - 18 Avenue S.W.,T2S0B8,Calgary,AB,(403) 500-2024,,stmarys@cssd.ab.ca,Senior High,N,N,N,N,Y,{F53CCAC6-4DAE-47ED-93AA-E31294E1DD2C},POINT (-114.0640191 51.0366146),14,1,297,5,90
The Calgary School Division,Silver Springs School,7235 Silver Mead Rd NW,T3B3V1,Calgary,AB,(403) 777-6070,,silversprings@cbe.ab.ca,Elementary,N,N,Y,N,N,{2D95F23E-2E76-492D-A9FC-FE399EA4F8CC},POINT (-114.1908255 51.1057102),13,2,147,9,12
The Calgary School Division,Kenneth D. Taylor School,30 Evanscove Cir NW,T3P0A1,Calgary,AB,(403) 817-3504,,kennethdtaylor@cbe.ab.ca,Elementary,N,N,Y,N,N,{0C67DC5A-467E-4191-9F3D-4143A1D946F2},POINT (-114.1178014 51.165096),3,2,237,10,92
The Calgary Roman Catholic Separate School Division,Ecole St. Pius X School,2312 - 18 Street N.W.,T2M3T5,Calgary,AB,(403) 500-2015,,stpius@cssd.ab.ca,Elementary,N,N,Y,N,N,{6D085CEE-07C9-4660-B173-B6F217F01C0E},POINT (-114.1034063 51.0729725),7,2,63,7,51
The Calgary Roman Catholic Separate School Division,Our Lady of Grace School,736 Evanston Drive,T3P0N7,Calgary,AB,(403) 500-2124,,ourladyofgrace@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{88D72F61-A28D-454C-86D9-FD50D8D77899},POINT (-114.1204866 51.1793394),3,2,237,10,92
The Calgary School Division,Bridlewood School,207 Bridleridge Way SW,T2Y0L4,Calgary,AB,,,,Elementary,N,N,Y,N,N,{EAD1EBE8-8402-44F6-8140-7CA067D2CD92},POINT (-114.110662 50.9023836),5,1,138,6,283
Renfrew Educational Services Society,Renfrew Educational Services-Janice McTighe Centre,2050 - 21 Street N.E.,T2E6S5,Calgary,AB,(403) 291-5038,,renfrew@renfreweducation.org,Elementary/Junior High,N,N,Y,Y,N,{03FE1D65-893B-4B01-9A56-7576015FB619},POINT (-114.0082917 51.069617),9,4,106,3,228
The Calgary School Division,North Haven School,4922 North Haven Dr NW,T2K2K2,Calgary,AB,(403) 777-6220,,northhaven@cbe.ab.ca,Elementary,N,N,Y,N,N,{C88726A3-C666-48F1-AA44-D45A349396C0},POINT (-114.0866128 51.0975091),2,2,61,4,277
The Calgary School Division,Hawkwood School,650 Hawkwood Blvd NW,T3G2V7,Calgary,AB,(403) 777-6410,,hawkwood@cbe.ab.ca,Elementary,N,N,Y,N,N,{048773BF-3FBB-4301-9B47-B7164534F57A},POINT (-114.1787461 51.1306569),3,2,248,10,176
Foothills Academy Society,Foothills Academy,745 - 37 Street N.W.,T2N4T1,Calgary,AB,(403) 270-9400,,abarber@foothillsacademy.org,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{FC242467-BDD4-4DCF-ACC7-BBCF34F38129},POINT (-114.1423066 51.0640722),7,2,91,7,214
The Calgary Roman Catholic Separate School Division,Holy Angels School,275 Riverglen Drive SE,T2C3T5,Calgary,AB,(403) 500-2101,,holyangels@cssd.ab.ca,Elementary,N,N,Y,N,N,{1BFFCB25-26D6-4CE8-A096-01B86F990466},POINT (-114.0100177 50.9740953),10,3,19,8,234
Renfrew Educational Services Society,Renfrew Thomas W. Buchanan Centre,2050 - 21 Street N.E.,T2X3V4,Calgary,AB,(403) 291-5038,,renfrew@renfreweducation.org,Elementary/Junior High,N,N,Y,Y,N,{4C0B45B9-098D-4473-8075-E7082A9A1A90},POINT (-114.0560057 50.9019437),6,3,52,13,128
Capstone Engineering Academy,Capstone Engineering Academy,6115 - 10th Street SE,T2H2Z9,Calgary,AB,(403) 930-3535,,dean@capstoneacad.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{F828B8F4-E877-4806-BF28-7FFC5D64CF9C},POINT (-114.0399857 50.9982805),10,3,109,11,206
The Calgary School Division,Samuel W. Shaw School,115 Shannon Dr SW,T2Y0K6,Calgary,AB,(403) 777-6163,,,Elementary/Junior High,N,N,Y,Y,N,{80CC2931-CC87-447A-AE51-E3A7BB9FFC5D},POINT (-114.0873756 50.9081321),5,1,115,6,281
The Calgary Roman Catholic Separate School Division,Bishop Carroll High School,4624 Richard Road S.W.,T3E6L1,Calgary,AB,(403) 500-2056,,bishopcarroll@cssd.ab.ca,Senior High,N,N,N,N,Y,{0FA8E84E-8D74-4DA5-8001-CF242F24FA3D},POINT (-114.1207915 51.0126936),8,1,199,2,50
