INSTDATE,FIRSTROAD,SECONDROAD,QUADRANT,INT_TYPE,PEDBUTTONS,PED_TIMER,ACCESSIBLE_PEDESTRIAN_SIGNAL,latitude,longitude,Point,Count,MISTNO,UNITID
2009-08-21,BOW TRAIL, 85 STREET,SW,Traffic signal,Yes,No,No,51.05251546408569,-114.21092492537775,POINT (-114.21092492537775 51.05251546408569),1,0518,1109001628
2007-10-10,SYMONS VALLEY ROAD,CREEKSIDE S.C.,NW,Traffic signal T intersection,Yes,No,No,51.163121871311915,-114.12769433199412,POINT (-114.12769433199412 51.163121871311915),1,0959,1109000751
2020-10-15, 21 AVENUE,  2 STREET ,SW,Pedestrian RRFB,Yes,No,No,51.034302093717294,-114.06878531598655,POINT (-114.06878531598655 51.034302093717294),1,B0029,1110222751
2011-09-23, 20 AVENUE,  2 STREET,NW,Traffic signal,Yes,No,No,51.07061047079755,-114.067458346774,POINT (-114.067458346774 51.07061047079755),1,0952,1109001622
2001-07-05,  108, 25 AVENUE,SW,Overhead Flasher,Yes,No,No,51.03038117056717,-114.06399334685189,POINT (-114.06399334685189 51.03038117056717),1,B2708,1109001264
2020-07-29, 13 AVENUE,  2 STREET,SW,Traffic signal,No,Yes,Yes,51.04062554312044,-114.06833118244786,POINT (-114.06833118244786 51.04062554312044),1,1183,1110202882
1980-01-01, 52 AVENUE,NORTHLAND DRIVE,NW,Traffic signal,Yes,Yes,No,51.1009633795012,-114.14139426745285,POINT (-114.14139426745285 51.1009633795012),1,0073,1109000695
2024-09-26,NA'A DRIVE,MEDICINE HILLS TOWN CENTRE,SW,Traffic signal,Yes,Yes,Yes,51.080105126816484,-114.19565148390595,POINT (-114.19565148390595 51.080105126816484),1,0059,1110025848
2021-01-28,   25,HERITAGE MEADOWS WAY,SE,Traffic signal,Yes,Yes,Yes,50.985848811212364,-114.04397908557407,POINT (-114.04397908557407 50.985848811212364),1,1087,1109001550
1956-01-01,  7 AVENUE,  5 STREET,SW,Traffic signal,No,Yes,Yes,51.046817741308665,-114.07381632341101,POINT (-114.07381632341101 51.046817741308665),1,0336,1109001120
2009-10-16,KENSINGTON ROAD,MEMORIAL DRIVE/PARKDALE BV,NW,1/2 signal,Yes,Yes,Yes,51.052205380162846,-114.12115787765762,POINT (-114.12115787765762 51.052205380162846),1,1025,1109001828
2022-06-06,HIDDEN VALLEY DRIVE,SHAGANAPPI TRAIL,NW,Traffic signal T intersection,Yes,Yes,Yes,51.14775045414702,-114.13592395346276,POINT (-114.13592395346276 51.14775045414702),1,1244,1110308310
2018-02-28, 64 AVENUE,DEERFOOT TRAIL,NE,Pedestrian RRFB,Yes,No,No,51.11033421230243,-114.04552384130268,POINT (-114.04552384130268 51.11033421230243),1,B2907,1110063420
1998-07-26,COUNTRY HILLS BOULEVARD,COVENTRY BOULEVARD,NE,Traffic signal,Yes,No,No,51.15426504547499,-114.0424575421641,POINT (-114.0424575421641 51.15426504547499),1,0933,1109000892
1990-11-05,HOSPITAL DRIVE, 29 STREET,NW,Traffic signal T intersection,Yes,No,No,51.06637053940127,-114.129278262595,POINT (-114.129278262595 51.06637053940127),1,0217,1109000746
2008-08-22,FISH CREEK BOULEVARD/MILLVIEW GT,JAMES McKEVITT ROAD,SW,Traffic signal,Yes,No,No,50.91763435413508,-114.10005336836973,POINT (-114.10005336836973 50.91763435413508),1,1004,1109243378
1990-11-05,BLACKFOOT TRAIL,HIGHFIELD ROAD,SE,Traffic signal,Yes,No,No,51.020875408255456,-114.04782798493329,POINT (-114.04782798493329 51.020875408255456),1,0554,1109000869
1966-08-01,ELBOW DRIVE, 86 AVENUE/HARCOURT ROAD,SW,Overhead Flasher,Yes,No,No,50.97665986313355,-114.08386379756415,POINT (-114.08386379756415 50.97665986313355),1,B2656,1109001007
1982-01-01,SOUTHLAND DRIVE, 19 STREET,SW,Traffic signal,Yes,No,No,50.961416544217215,-114.10635049842867,POINT (-114.10635049842867 50.961416544217215),1,0691,1109000817
2017-07-27, 30 AVENUE,  4 STREET,NW,Pedestrian RRFB,Yes,No,No,51.07965252181781,-114.07154040991841,POINT (-114.07154040991841 51.07965252181781),1,B2896,1110061939
1966-01-01, 11 AVENUE,  2 STREET,SW,Traffic signal,No,Yes,No,51.04253305522755,-114.06819109233382,POINT (-114.06819109233382 51.04253305522755),1,0405,1109001222
1980-01-01,  8 AVENUE, 44 STREET,SE,Traffic signal,Yes,No,No,51.04518309617401,-113.97002387105779,POINT (-113.97002387105779 51.04518309617401),1,0359,1109001739
2023-08-15,34 AVENUE,22 STREET/GARRISON GATE,SW,Traffic signal,Yes,Yes,Yes,51.02317992487694,-114.11430782923743,POINT (-114.11430782923743 51.02317992487694),1,1278,1110405213
2020-10-27,130 AVENUE,MCIVOR BOULEVARD,SE,1/2 signal,Yes,Yes,Yes,50.928775670575895,-113.9351953764621,POINT (-113.9351953764621 50.928775670575895),1,1105,1110175503
1971-01-01,BOWNESS ROAD, 77 STREET,NW,Traffic signal,Yes,Yes,Yes,51.08892530737265,-114.19928402506781,POINT (-114.19928402506781 51.08892530737265),1,0150,1109000568
2019-11-21,PRESTWICK BOULEVARD,PRESTWICK CIRCLE,SE,Pedestrian RRFB,Yes,No,No,50.91927798211801,-113.96578270262764,POINT (-113.96578270262764 50.91927798211801),1,B0008,1110203123
2003-11-27,SUN VALLEY BOULEVARD,SUNMILLS DRIVE,SE,Traffic signal T intersection,Yes,No,No,50.904250162726456,-114.03015296292075,POINT (-114.03015296292075 50.904250162726456),1,0797,1109000874
1982-04-01,PARKLAND BOULEVARD,PARK VALLEY DRIVE,SE,Overhead Flasher,Yes,No,No,50.91922760692592,-114.0256995716966,POINT (-114.0256995716966 50.91922760692592),1,B2680,1109001439
1999-08-27, 12 AVENUE, 12 STREET,SW,Traffic signal,No,Yes,Yes,51.04221709474541,-114.09137908487193,POINT (-114.09137908487193 51.04221709474541),1,0427,1109000957
1956-01-01,  8 AVENUE,  5 STREET,SW,Traffic signal,No,Yes,No,51.04585777126418,-114.07385569815968,POINT (-114.07385569815968 51.04585777126418),1,0349,1109001119
2016-12-28,TUSCANY DRIVE,TUSCANY WAY,NW,Pedestrian RRFB,Yes,No,No,51.129072077144606,-114.25017507734155,POINT (-114.25017507734155 51.129072077144606),1,B2839,1110006467
1987-02-01,  5 AVENUE, 52 STREET,SE,Overhead Flasher,Yes,No,No,51.049004591256285,-113.9559982526386,POINT (-113.9559982526386 51.049004591256285),1,B2607,1109001799
